date,yday,n_deployments,life_stage,density_km2
2020-05-20,141,21,overall,7.692592915487017
2020-05-20,141,21,adult,7.692592915487017
2020-05-20,141,21,juvenile,0
2020-05-21,142,46,overall,1.9543751445018709
2020-05-21,142,46,adult,1.9543751445018709
2020-05-21,142,46,juvenile,0
2020-05-22,143,49,overall,0.054345439807833684
2020-05-22,143,49,adult,0.054345439807833684
2020-05-22,143,49,juvenile,0
2020-05-23,144,74,overall,7.64688884647851
2020-05-23,144,74,adult,7.64688884647851
2020-05-23,144,74,juvenile,0
2020-05-24,145,79,overall,0.7334127301497734
2020-05-24,145,79,adult,0.7334127301497734
2020-05-24,145,79,juvenile,0
2020-05-25,146,80,overall,2.0179287717641663
2020-05-25,146,80,adult,1.9304059222083079
2020-05-25,146,80,juvenile,0.11167923453460013
2020-05-26,147,80,overall,0.643786684764764
2020-05-26,147,80,adult,0.475898851771239
2020-05-26,147,80,juvenile,0.15540308684488288
2020-05-27,148,80,overall,0.08546013802876858
2020-05-27,148,80,adult,0.08546013802876858
2020-05-27,148,80,juvenile,0
2020-05-28,149,80,overall,24.814877007391175
2020-05-28,149,80,adult,21.71592859602295
2020-05-28,149,80,juvenile,6.4951537852875685
2020-05-29,150,80,overall,0.6045422722157886
2020-05-29,150,80,adult,0.6045422722157886
2020-05-29,150,80,juvenile,0
2020-05-30,151,80,overall,1.4876736285221688
2020-05-30,151,80,adult,1.4876736285221688
2020-05-30,151,80,juvenile,0
2020-05-31,152,80,overall,0.27650669481400775
2020-05-31,152,80,adult,0.27650669481400775
2020-05-31,152,80,juvenile,0
2020-06-01,153,80,overall,0.0965771925564727
2020-06-01,153,80,adult,0.0965771925564727
2020-06-01,153,80,juvenile,0
2020-06-02,154,80,overall,2.5345309185515505
2020-06-02,154,80,adult,2.5345309185515505
2020-06-02,154,80,juvenile,0
2020-06-03,155,80,overall,9.688004799271448
2020-06-03,155,80,adult,9.688004799271448
2020-06-03,155,80,juvenile,0
2020-06-04,156,80,overall,0.3831878512681601
2020-06-04,156,80,adult,0.3831878512681601
2020-06-04,156,80,juvenile,0
2020-06-05,157,80,overall,0.11175543232484977
2020-06-05,157,80,adult,0.11175543232484977
2020-06-05,157,80,juvenile,0
2020-06-06,158,80,overall,9.655097681844632
2020-06-06,158,80,adult,8.998561275255888
2020-06-06,158,80,juvenile,0.54018723985865
2020-06-07,159,80,overall,0.027637000050005665
2020-06-07,159,80,adult,0.027637000050005665
2020-06-07,159,80,juvenile,0
2020-06-08,160,80,overall,0
2020-06-08,160,80,adult,0
2020-06-08,160,80,juvenile,0
2020-06-09,161,80,overall,0.9679217994669682
2020-06-09,161,80,adult,0.6484301022365675
2020-06-09,161,80,juvenile,0.3833900366764812
2020-06-10,162,80,overall,2.6870607610242176
2020-06-10,162,80,adult,1.1452994686979563
2020-06-10,162,80,juvenile,1.0006202624390304
2020-06-11,163,80,overall,0.3363822665785836
2020-06-11,163,80,adult,0.3363822665785836
2020-06-11,163,80,juvenile,0
2020-06-12,164,80,overall,0.3344659088272623
2020-06-12,164,80,adult,0.3344659088272623
2020-06-12,164,80,juvenile,0
2020-06-13,165,80,overall,6.1024158353235185
2020-06-13,165,80,adult,6.1024158353235185
2020-06-13,165,80,juvenile,0
2020-06-14,166,79,overall,4.061000165358335
2020-06-14,166,79,adult,4.021402619120993
2020-06-14,166,79,juvenile,0.024739859471614153
2020-06-15,167,80,overall,0.23781870855384107
2020-06-15,167,80,adult,0.23781870855384107
2020-06-15,167,80,juvenile,0
2020-06-16,168,80,overall,0.27591344153321773
2020-06-16,168,80,adult,0.27591344153321773
2020-06-16,168,80,juvenile,0
2020-06-17,169,61,overall,2.377381956646686
2020-06-17,169,61,adult,2.377381956646686
2020-06-17,169,61,juvenile,0
2020-06-18,170,80,overall,0.4763207081447048
2020-06-18,170,80,adult,0.4763207081447048
2020-06-18,170,80,juvenile,0
2020-06-19,171,48,overall,0.011425777089264032
2020-06-19,171,48,adult,0.011425777089264032
2020-06-19,171,48,juvenile,0
2020-06-20,172,58,overall,0.41693342944971495
2020-06-20,172,58,adult,0.41693342944971495
2020-06-20,172,58,juvenile,0
2020-06-21,173,77,overall,0.740774929690817
2020-06-21,173,77,adult,0.740774929690817
2020-06-21,173,77,juvenile,0
2020-06-22,174,77,overall,0.14425796538096877
2020-06-22,174,77,adult,0.14425796538096877
2020-06-22,174,77,juvenile,0
2020-06-23,175,77,overall,2.917686079527568
2020-06-23,175,77,adult,2.917686079527568
2020-06-23,175,77,juvenile,0
2020-06-24,176,77,overall,0
2020-06-24,176,77,adult,0
2020-06-24,176,77,juvenile,0
2020-06-25,177,77,overall,0
2020-06-25,177,77,adult,0
2020-06-25,177,77,juvenile,0
2020-06-26,178,77,overall,0
2020-06-26,178,77,adult,0
2020-06-26,178,77,juvenile,0
2020-06-27,179,77,overall,0.0630676528215672
2020-06-27,179,77,adult,0.0630676528215672
2020-06-27,179,77,juvenile,0
2020-06-28,180,77,overall,0.016446744088060693
2020-06-28,180,77,adult,0.016446744088060693
2020-06-28,180,77,juvenile,0
2020-06-29,181,77,overall,0
2020-06-29,181,77,adult,0
2020-06-29,181,77,juvenile,0
2020-06-30,182,77,overall,0.032893488176121394
2020-06-30,182,77,adult,0.032893488176121394
2020-06-30,182,77,juvenile,0
2020-07-01,183,77,overall,0
2020-07-01,183,77,adult,0
2020-07-01,183,77,juvenile,0
2020-07-02,184,77,overall,0
2020-07-02,184,77,adult,0
2020-07-02,184,77,juvenile,0
2020-07-03,185,77,overall,0.6832422912490375
2020-07-03,185,77,adult,0.6832422912490375
2020-07-03,185,77,juvenile,0
2020-07-04,186,77,overall,0.1666151281833177
2020-07-04,186,77,adult,0.1666151281833177
2020-07-04,186,77,juvenile,0
2020-07-05,187,77,overall,0
2020-07-05,187,77,adult,0
2020-07-05,187,77,juvenile,0
2020-07-06,188,76,overall,0
2020-07-06,188,76,adult,0
2020-07-06,188,76,juvenile,0
2020-07-07,189,78,overall,0
2020-07-07,189,78,adult,0
2020-07-07,189,78,juvenile,0
2020-07-08,190,78,overall,0
2020-07-08,190,78,adult,0
2020-07-08,190,78,juvenile,0
2020-07-09,191,78,overall,0.17351673900991182
2020-07-09,191,78,adult,0.17351673900991182
2020-07-09,191,78,juvenile,0
2020-07-10,192,78,overall,0
2020-07-10,192,78,adult,0
2020-07-10,192,78,juvenile,0
2020-07-11,193,78,overall,0.02083820887216248
2020-07-11,193,78,adult,0.02083820887216248
2020-07-11,193,78,juvenile,0
2020-07-12,194,78,overall,0
2020-07-12,194,78,adult,0
2020-07-12,194,78,juvenile,0
2020-07-13,195,78,overall,0.03477293702801727
2020-07-13,195,78,adult,0.03477293702801727
2020-07-13,195,78,juvenile,0
2020-07-14,196,78,overall,0.07523763691666711
2020-07-14,196,78,adult,0.07523763691666711
2020-07-14,196,78,juvenile,0
2020-07-15,197,78,overall,0.06225909317000865
2020-07-15,197,78,adult,0.06225909317000865
2020-07-15,197,78,juvenile,0
2020-07-16,198,78,overall,0.0948586366824961
2020-07-16,198,78,adult,0.0948586366824961
2020-07-16,198,78,juvenile,0
2020-07-17,199,78,overall,0.013934728155854793
2020-07-17,199,78,adult,0.013934728155854793
2020-07-17,199,78,juvenile,0
2020-07-18,200,78,overall,0.3753446523658636
2020-07-18,200,78,adult,0.3753446523658636
2020-07-18,200,78,juvenile,0
2020-07-19,201,78,overall,0
2020-07-19,201,78,adult,0
2020-07-19,201,78,juvenile,0
2020-07-20,202,78,overall,0
2020-07-20,202,78,adult,0
2020-07-20,202,78,juvenile,0
2020-07-21,203,78,overall,0.08322506876541053
2020-07-21,203,78,adult,0.08322506876541053
2020-07-21,203,78,juvenile,0
2020-07-22,204,60,overall,0.08459271639225613
2020-07-22,204,60,adult,0.08459271639225613
2020-07-22,204,60,juvenile,0
2020-07-23,205,51,overall,0.06374040360896759
2020-07-23,205,51,adult,0.01779251563789556
2020-07-23,205,51,juvenile,0
2020-07-24,206,30,overall,0.060162359688422463
2020-07-24,206,30,adult,0.060162359688422463
2020-07-24,206,30,juvenile,0
2020-07-25,207,30,overall,0
2020-07-25,207,30,adult,0
2020-07-25,207,30,juvenile,0
2020-07-26,208,9,overall,0
2020-07-26,208,9,adult,0
2020-07-26,208,9,juvenile,0
2020-07-27,209,2,overall,0
2020-07-27,209,2,adult,0
2020-07-27,209,2,juvenile,0
